,Type,Epic,Ticket Title,Description,Acceptance Criteria,Effort Estimate,Mockup Ref,Questions / Open Items,,
,,AIDC App Ref & Entry Point Creation,Spike Ticket,Spike to check on building the appref and entrypoints in AIDC,,,,,,
,,,Toggle Configuration,Question - How does the toggle constant handling work ,,,,,,
,,,Reconciliation optional and mandatory toggle,,,,,,,
,,,Inflight Handling,Question - How does the inflight instaance handling work,We can show the warning in missing info section in the summary,,,,,
,,,Reconcile process tickets,Dependent on the spike #1,,,,,,
Soma Sundaram D,Task,1. Pricing Extraction Data Model,Evaluation Vendor Table Changes,"Database and synced-record changes on the GSS side to track AI price extraction. Add tracking columns to AS_GSS_EVALUATION_VENDOR (price extraction status, confidence level, source document reference, is-reviewed flag) and link extracted line items in AS_GSS_VENDOR_PRICE_BREAKUP (already has EXTRACTION_TYPE_ID / SOURCE_APPLICATION_ID). Reuse existing AS_GSS_R_DATA reference values (no new ref types needed): AI Confidence = High/Medium/Low (101/102/103), AI Request Status = In Progress/Completed/Failed/Queued (97-100), Pricing Extraction Type = AI Document Extraction/Manual Entry (71/72). Update the DSE and synced records so new fields sync. Delivered as idempotent SMT scripts for MariaDB + Oracle (GSS v3.1).","AC 1: Extraction tracking columns added
Given the GSS v3.1 SMT scripts are deployed
When a price extraction is kicked off for an evaluation vendor
Then the evaluation vendor record stores extraction status, confidence level, and source document reference
And the values map to existing AS_GSS_R_DATA reference values (AI Request Status, AI Confidence)

AC 2: Breakup rows tagged with extraction source
Given AI-extracted price line items are written
When they are saved to AS_GSS_VENDOR_PRICE_BREAKUP
Then each row has EXTRACTION_TYPE_ID = 'AI Document Extraction' (71)
And manually entered rows have EXTRACTION_TYPE_ID = 'Manual Entry' (72)

AC 3: Synced records reflect new fields
Given the DSE and synced records are updated
When the records sync
Then the new extraction tracking fields are queryable via the evaluation vendor record without errors

AC 4: Idempotent multi-DB scripts
Given the scripts run on the MariaDB and Oracle verification schemas
When verification runs them twice
Then both versions pass and are re-runnable without error",,,"Q1: Staging approach — should extraction status / confidence / source-document / reviewed-flag be added as columns on AS_GSS_EVALUATION_VENDOR, or live in a separate header record (e.g. AS_GSS_AI_VENDOR_PRICE_EXTRACTION) so unreviewed extracted values don't overwrite the confirmed totalPrice/pricingNotes? (mockup empty-state favors staging)
Q2: Confirm we reuse existing AS_GSS_R_DATA ref values (AI Confidence 101-103, AI Request Status 97-100, Pricing Extraction Type 71/72) and add no new ref types.
Q3: Where is the extracted price held before review — staged on the breakup table (IS_ACTIVE=0) or in the header record?",,
Soma Sundaram D,Task,1. Pricing Extraction Data Model,"Extend pricing data model to track AI extraction status, confidence & source document","Record-type and query layer on top of the table changes. Add record relationships and query entities so interfaces and process models can read per-vendor extraction status, confidence, and which document was sent for extraction in a single query. Expose the confidence level and reviewed flag so downstream status tags and the reconciliation gate can branch between optional (High confidence) and mandatory (Medium/Low confidence) reconciliation.","AC 1: Read extraction state per vendor
Given an evaluation vendor with an in-progress or completed extraction
When the vendor record is queried
Then status, confidence, source document, and reviewed flag are returned together

AC 2: Confidence drives reconciliation mode
Given a completed extraction
When confidence is High
Then the vendor is flagged for optional reconciliation
And when confidence is Medium or Low, the vendor is flagged for mandatory reconciliation

AC 3: Source document resolvable
Given a vendor had a document selected for extraction
When the source document reference is read
Then it resolves to the correct AS_GSS_EVALUATION_DOCUMENT row (EVAL_DOCUMENT_ID)",Medium,,"Q1: Rows 7 and 8 overlap — keep the split (7 = tables/DSE, 8 = record relationships + query layer) or merge into one ticket?
Q2: Is confidence stored as an FK to ref-data (High/Medium/Low) or as a numeric score like AS_GSS_AI_VENDOR_ANALYSIS.confidenceScore?
Q3: Does the extraction live entirely in AIA/Doc Centre with GSS only reading status, or does GSS own its own extraction record?",,
Soma Sundaram D,Task,1. Pricing Extraction Data Model,Add audit support for AI-extracted pricing fields,Extend the pricing audit data types AS_GSS_A_R_EvaluationVendor_PriceBreakup and AS_GSS_A_R_EvaluationVendor_PriceBreakup_Field so both the AI-extracted values and any subsequent user edits are captured. This feeds the admin effectiveness metric called out in the spec (how often users had to change extracted values).,"AC 1: Capture AI-extracted baseline
Given AI extraction writes pricing values
When the values are saved
Then the audit record stores the original AI-extracted value with source = AI and a timestamp

AC 2: Capture user edits
Given a user edits an AI-extracted price during reconciliation
When they save
Then the audit record stores the previous value, the new value, the user, and the timestamp

AC 3: Effectiveness reporting
Given audited pricing edits exist
When the admin adoption/effectiveness metric is computed
Then the number of vendors whose extracted values were changed can be derived from the audit data",Small,,"Q1: Does the existing field-level audit on AS_GSS_VENDOR_PRICE_BREAKUP already capture edits, or do the audit data types need a new flag to distinguish AI-extracted vs user-entered values?
Q2: Confirm the effectiveness metric source — derive 'how often users changed extracted values' from these audit rows, or from a dedicated MTR metric (AS_GSS_MTR_SAVE_* pattern)?",,
Soma Sundaram D,Story,3. Add Vendors Wizard — Document Selection,Add radio button to select a document for AI price extraction in upload step,"On Add Vendors Step 2 (proposal details), in the Documents section ('Upload and select the document for AI pricing extraction'), add a required 'AI Pricing Extraction*' radio column to the documents grid. Grid columns: Document, Version, Type, Factor/Subfactor, AI Pricing Extraction (radio), remove (X). A single radio selects the one document sent for AI price extraction per vendor; include the help tooltip (?) on the column header. UPLOAD and IMPORT FROM OPPORTUNITY actions remain. Modify AS_GSS_UI_vendorGrid_uploadDocs. Column shown only when the AI pricing extraction toggle is ON. Ref: Mockup 'Selecting the document for AI price extraction'.","AC 1: AI Pricing Extraction radio column shown
Given the AI pricing extraction toggle is ON and I am on Add Vendors Step 2
When the Documents grid renders for a vendor
Then an 'AI Pricing Extraction*' radio column is shown alongside Document, Version, Type, and Factor/Subfactor
And a help tooltip is available on the column header

AC 2: Single document selection
Given multiple documents are listed for a vendor
When I select the AI Pricing Extraction radio on one row
Then any previously selected radio for that vendor is cleared so only one document is selected

AC 3: Required selection
Given the AI toggle is ON and at least one document exists for the vendor
When I click Add without selecting a document for extraction
Then a required-field validation blocks submission

AC 4: Hidden when AI is off
Given the AI pricing extraction toggle is OFF
When the Documents grid renders
Then the AI Pricing Extraction column is not shown and upload/import behavior is unchanged",Medium,Slide: 'Selecting the document for AI price extraction',"Q1: Is selecting a document for AI extraction mandatory when the toggle is ON (column shows 'AI Pricing Extraction*'), or can the user skip it for vendors with no pricing document?
Q2: Multi-document extraction is excluded per spec — confirm strictly one document per vendor.
Q3: Should already-extracted documents be re-selectable / re-runnable from this grid?",,
Soma Sundaram D,Story,3. Add Vendors Wizard — Document Selection,Trigger extraction on vendor add for selected documents,"Wire the Add Vendors submission so AS GSS Add Evaluation Vendors invokes the price extraction orchestration for each vendor that has a document selected. Skip vendors with no selected document, and skip entirely when the AI pricing extraction toggle is OFF. On kickoff set the extraction status so the UI shows 'Extracting Pricing' (summary) / 'Extracting' (vendors tab).","AC 1: Extraction kicked off for selected vendors
Given vendors are submitted with a document selected for extraction
When the add-vendors process completes
Then price extraction is started only for those vendors
And their status is set so the UI shows the 'Extracting Pricing' / 'Extracting' indicator

AC 2: No selection, no trigger
Given a vendor has no document selected
When vendors are submitted
Then no extraction is triggered for that vendor

AC 3: AI off, no trigger
Given the AI pricing extraction toggle is OFF
When vendors are submitted
Then no extraction is triggered for any vendor",Small,,"Q1: Is extraction kicked off only on Add Vendors, or also on Update Vendors and on re-upload/replacement of the selected document?
Q2: Confirm the initial status value used at kickoff (AI Request Status = 'In Progress' vs 'Queued').
Q3: How are concurrent extractions across many vendors throttled (reuse AI Extract Findings Orchestrator MNI gating)?",,
