,Type,Epic,Ticket Title,Description,Acceptance Criteria,Implementation Notes,Effort Estimate,Mockup Ref,Questions / Open Items
,Task,1. Foundational — Data Model & Shared Resolvers,Add parentEvalId to the EvaluationRound table,"Add PARENT_EVAL_ID to AS_GSS_EVALUATION_ROUND so the round family resolves from the rounds table alone (null for the root Round-1 row, = root id for child rounds). Refresh the synced record and index (EVALUATION_ID, PARENT_EVAL_ID, SEQUENCE). Idempotent SMT scripts for MariaDB + Oracle.","AC 1: Column added and synced
Given the SMT scripts are deployed
When a round row is written
Then PARENT_EVAL_ID persists (null for root Round-1, root id for child rounds) and is queryable via the record

AC 2: Idempotent multi-DB
Given the scripts run on MariaDB and Oracle
When run twice
Then both pass and are re-runnable without error",DB/synced-record only; no rules. Confirms the family key lives solely on the rounds table.,Small,,Q: Record-type suffix for any new records — keep _SYNCEDRECORD or move to _RecordType?
,Task,1. Foundational — Data Model & Shared Resolvers,Build family resolution rules (shared),"Build the shared family resolver used by tabs, Rounds panel, Summary and VM. Kept as its own object because many stories depend on it.","AC 1: Resolve family from any member
Given a root or child evaluationId
When getRoundsForEvaluation runs
Then it returns all rounds of the family, sequence-sorted, with round-eval status

AC 2: Leaf safety
Given an evaluation with no rounds
When it runs
Then it returns empty without error; test cases pass on the known family (root 6)","Create AS_GSS_QR_getEvaluationRoundDetails — base query for a round's detail. Create AS_GSS_QR_getRoundsForEvaluation — keystone resolver: anchor = coalesce(parentEvalId, evaluationId); 2 queries, rounds-table-only, sequence-sorted, status-joined; composes getEvaluationRoundDetails. Standards: AS_CO_UT_queryRecord, sort-in-query.",Small,,
,Task,1. Foundational — Data Model & Shared Resolvers,Build parent-identity resolver rule (shared),Build the shared helper that maps any evaluationId to its parent identity; consumed by every hidden-child display fix (Epic 6). Kept as its own object.,"AC 1: Resolve parent identity
Given a child-round evaluationId
When the rule runs
Then it returns parentEvalId + parent evaluationNumber + parent evaluationTitle

AC 2: Root passthrough
Given a root evaluationId
When it runs
Then it returns the root's own id/number/title; test cases cover both","Create AS_GSS_UT_returnParentEvaluationIdentity(evaluationId) -> {parentEvalId, parentEvaluationNumber, parentEvaluationTitle} using coalesce(parentEvalId, evaluationId).",Small,,Q: Approve one shared parent-identity helper used by all grids/columns/emails/links? (doc 07 Q2)
,Story,2. Start Evaluation as Round 1,Start Evaluation Best Value form,"Best Value only: single-screen Start Evaluation modal collecting Round 1 details (round name default 'Initial Evaluation', start date, duration, due date) and a parent-factor multi-select (Team/Evaluators/due date, default all selected, live 'N of N selected'). No vendor step, no on-spot toggle. Object: AS_GSS_FM_startEvaluationBestValue.","AC 1: Modal renders
Given a SETTING_UP Best Value evaluation
When I open Start Evaluation
Then the single-screen modal shows round details + the factor multi-select (all checked, live count)

AC 2: Output
Given I submit
Then the form outputs selectedFactorIds and the round detail values, and sets the eval fields for the process",Reuse the round-detail + factor-picker components from AS_GSS_FM_startNewRound. Create any small display helpers the factor card needs (factor name/number/due date) inline. No new shared rules.,Medium,GSS - Multiround Evaluation (1).pdf p3,
,Story,2. Start Evaluation as Round 1,Start Evaluation Best Value process model (+ rules),"Rebuild the AS GSS Start Evaluation Best Value PM: registers the parent as Round 1 (via the round relationship cascade) and runs scoped task/rating/consensus generation. Clone of the standard start process minus the LPTA branch, plus a factor-scoping step. Object: the PM + its rules.","AC 1: Round 1 created
Given the modal is submitted
When the process completes
Then the eval is INPROGRESS and a Round-1 EvaluationRound row exists (sequence=1, parentEvalId null)

AC 2: Scoped generation
Given a factor subset
When generation runs
Then tasks = selectedFactors(+subfactors) x vendors; ratings/consensus scoped identically; on-spot creates consensus but no tasks

AC 3: Task names use parent identity
Given tasks are generated
Then the persisted taskName uses the parent number (per Q), never a child clone number",Create a Scope Selected Factors rule/node: filter evaluationFactorsAndSubFactors to selected criteriaId OR parentCriteriaId in selectedFactorIds. Reuse AS_GSS_generateEvaluationTasksForAssignee scoped by that list. Modify task-name construction to use parent identity (per Q). Register Round 1 by populating the round relationship on the eval Write node.,Medium,GSS - Multiround Evaluation (1).pdf p2,"Q: Task-name convention — parent number only, or parent number + 'Round N'? (doc 07 Q1)"
,Task,2. Start Evaluation as Round 1,[Designer] Start Evaluation action + visibility split,MANUAL (MCP-blocked on the Evaluation record type): create the startEvaluationBestValue record action to the new PM and guard the existing startEvaluation action so exactly one shows.,"AC 1: Exactly one action
Given a SETTING_UP Best Value eval
Then only Start Evaluation (Best Value) shows; LPTA/non-Best-Value show the original

AC 2: Root-only
Given a child-round eval
Then the action is not shown",Action visibility = SETTING_UP AND Best Value AND isBlank(parentEvalId). Guard existing startEvaluation with the Best-Value exclusion. Reuse existing contextExpr + selectedFactorIds.,Small,,
,Story,3. Round-Aware Detail Tabs,Consolidated round-tab wrapper,"Build one generic wrapper that shows one sub-tab per round for every round-aware detail tab (Factors, Teams, Consensus, Documents, Task History, Ratings, Checklist Items, Evaluation History), replacing the eight _Parent wrappers. Object: AS_GSS_CPS_roundContentTabs (+ the embeddable-content edits to each tab's content interface, owned here to avoid contention).","AC 1: Sub-tabs per round
Given a family with N rounds
When I open a round-aware tab on the parent
Then I see Round 1..N sub-tabs each rendering that round's content

AC 2: Leaf safety
Given a single-round evaluation
Then it renders without error (diagnostics.error null per tabType)","Build AS_GSS_CPS_roundContentTabs(evaluationId, tabType) as an a!match router; consume the family resolver. Eliminate returnViewRenderingConfigFor_Factors. Make each of the 8 content interfaces embeddable (strip outer HeaderContentLayout frame) — done in this story so no other story edits them. Retire the 8 _Parent wrappers.",Large,,
,Task,3. Round-Aware Detail Tabs,[Designer] Repoint Evaluation record views to the wrapper,MANUAL (MCP-blocked): repoint each round-aware view on AS_GSS_Evaluation_RECORD to the consolidated wrapper.,"AC 1: Views use the wrapper
Given the wrapper is deployed
When each detail view opens on a record
Then it renders via the consolidated wrapper",One-line view reference swap per round-aware view. No rules.,Small,,
,Story,4. Setup New Round & Clone,Setup New Round wizard form (+ rules),"Wizard to set up the next round: round name/dates, vendor down-select grid, factor carry-forward, with validations. Object: AS_GSS_FM_startNewRound + its rules.","AC 1: Wizard captures a round
Given all existing rounds are COMPLETE
When I complete the wizard
Then round details + selected vendors + carried factors are captured for the process

AC 2: Validations
Given the wizard
Then at least one vendor is required, round dates must sit within the evaluation window, and a 6th round is not allowed","Create the vendor down-select grid rule (active EvaluationVendor for the eval) and the factor-carry display rule. Create validation rules: dates-within-eval-window, min-one-vendor, max-5-rounds (uses family resolver for count).",Large,GSS - Multiround Evaluation (1).pdf p4-8,Q: Setup-New-Round step count (2 vs 3)? Is the Phases tab in or out?
,Story,4. Setup New Round & Clone,Setup New Round process model (+ clone/carry rules),"Rebuild the Setup New Round PM: create the child round eval (SETTING_UP, sequence=max+1, parentEvalId=root) and carry data forward. Object: AS GSS Duplicate Evaluation For New Round PM + its clone/carry rules.","AC 1: Round created
When the wizard is submitted
Then a child round eval is created (SETTING_UP, sequence=max+1, parentEvalId=root)

AC 2: Clone integrity
Then fields are copied/nulled/reset per spec; factor->team mapping sets evaluatorTeamId; carried vendors' documents are copied; factor->document mappings are carried (factor by factorNumber, doc by appianDocId) and dropped where factor/doc not carried","Rules to build/modify (folded here): AS_GSS_UT_duplicateEvaluationForNewRound (clone builder — copy/null/reset table); updateFactorTeamMappingForDuplicatedEvaluation (merge-only, sets evaluatorTeamId); constructFactorDocumentMappingsForNewRound (correlate factor by factorNumber, doc by appianDocId); vendor-document carry (query source docs once, map per vendor). PM writes criteria before the mapping step so new ids are resolvable.",Large,,Q: 'Active round' semantics for max/latest (doc 07 Q12).
